trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,0,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:04,00:00:04,1,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,1,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:04,00:00:04,0,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,0,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:08,00:00:08,7,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,7,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:08,00:00:08,0,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,1,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:08,00:00:08,2,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,2,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:08,00:00:08,1,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,1,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:11,00:00:11,7,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,7,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:11,00:00:11,1,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,2,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:07,00:00:07,3,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,3,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:07,00:00:07,2,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,2,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:04,00:00:04,5,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,5,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:04,00:00:04,2,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,2,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:02,00:00:02,8,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,8,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:02,00:00:02,2,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,3,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:09,00:00:09,4,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,4,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:09,00:00:09,3,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,3,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:14,00:00:14,5,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,5,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:14,00:00:14,3,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,4,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:10,00:00:10,5,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,5,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:02,00:00:02,6,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,6,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:02,00:00:02,5,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,6,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:01,00:00:01,7,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,7,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:01,00:00:01,6,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,6,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:06,00:00:06,8,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,8,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:06,00:00:06,6,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,7,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:07,00:00:07,8,2,,0,0,
A20171105SAT_036000_GS.N01R,00:00:00,00:00:00,8,1,,0,0,
A20171105SAT_036000_GS.N01R,00:00:07,00:00:07,7,2,,0,0,
